Year,Name,姓名,Gender,Whether or Not Eng Name,English Name,Political Affiliation,Whether or Not Pro-Beijing,FC/GC,Constituency
1998,Ronald ARCULLI,夏佳理,1,1,Ronald,Liberal,1,FC,Real Estate and Construction
1998,MA Fung-kwok,馬逢國,1,0,,New Forum,1,FC,Election Committee
1998,James TO Kun-sun,涂謹申,1,1,James,Democratic,0,GC,Kowloon West
1998,CHEUNG Man-kwong,張文光,1,0,,Democratic,0,FC,Education
1998,Ambrose CHEUNG Wing-sum,張永森,1,1,Ambrose,Independent,1,FC,Urban Council
1998,HUI Cheung-ching,許長青,1,0,,Progressive Alliance,1,FC,Import and Export
1998,Christine LOH,陸恭蕙,2,1,Christine,Citizens Party,0,GC,Hong Kong Island
1998,CHAN Kwok-keung,陳國強,1,0,,DAB,1,FC,Labour
1998,CHAN Yuen-han,陳婉嫻,2,0,,DAB,1,GC,Kowloon East
1998,Bernard CHAN,陳智思,1,1,Bernard,Breakfast Group,1,FC,Insurance
1998,CHAN Wing-chan,陳榮燦,1,0,,DAB,1,FC,Labour
1998,CHAN Kam-lam,陳鑑林,1,0,,DAB,1,FC,Election Committee
1998,Edward LEONG Che-hung,梁智鴻,1,1,Edward,Breakfast Group,1,FC,Medical
1998,Sophie LEUNG LAU Yau-fun,梁劉柔芬,2,1,Sophie,Liberal,1,FC,Textiles and Garment
1998,LEUNG Yiu-chung,梁耀忠,1,0,,NWSC,0,GC,New Territories West
1998,Gary CHENG Kai-nam,程介南,1,1,Gary,DAB,1,GC,Hong Kong Island
1998,SIN Chung-kai,單仲偕,1,0,,Democratic,0,FC,Information Technology
1998,Andrew WONG Wang-fat,黃宏發,1,1,Andrew,Independent,0,GC,New Territories East
1998,Philip WONG Yu-hong,黃宜弘,1,1,Philip,Independent,1,FC,Commercial - Second
1998,WONG Yung-kan,黃容根,1,0,,DAB,1,FC,Agriculture and Fisheries
1998,Jasper TSANG Yok-sing,曾鈺成,1,1,Jasper,DAB,1,GC,Kowloon West
1998,Howard YOUNG,楊孝華,1,1,Howard,Liberal,1,FC,Tourism
1998,YEUNG Sum,楊森,1,0,,Democratic,0,GC,Hong Kong Island
1998,YEUNG Yiu-chung,楊耀忠,1,0,,DAB,1,FC,Election Committee
1998,CHIM Pui-chung,詹培忠,1,0,,Independent,1,FC,Financial Services
1998,LAU Chin-shek,劉千石,1,0,,Democratic,0,GC,Kowloon West
